respondent_id,party_name,country_name,is_populist,populist_and_farleft,populist_and_farright,income_decile,income_feeling,paid_work,econ_satisfaction,unemp_3m,years_education,financial_difficulty_childhood,immig_same_ethnic,immig_diff_ethnic,immig_poor_nonEU,gay_rights_freedom,gay_adoption_rights,eu_integration,europe_attachment,country_attachment,child_obedience,leader_loyalty,tradition_important,pleasure_important,trust_politicians,trust_parties,trust_parliament,influence_on_politics,confident_participation,active_politics_role,political_interest,left_right_scale,party_closeness,ess_round,age,gender,ethnic_majority_identity,disc_nationality,disc_race,disc_ethnicity,born_in_country,citizen,how_religious,religion_belonging,religion_attendance,vote_x,vote_code,farright,farleft,eurosceptic,in_parliament,partyfacts_id,parlgov_id,vote_y
72012,PSOE,Spain,0,0,0,9,1,1,6,2,24,4,2,3,3,1,1,9,10,10,3,5,5,5,3,1,5,4,4,5,2,3,1,11,62,2,1,0,0,0,1,1,2,2,7,1,2.0,0,0,,,,,1
72012,PSOE,Spain,0,0,0,7,1,1,9,2,19,5,2,2,2,1,3,3,6,10,2,3,1,2,7,7,9,3,5,5,1,7,1,11,55,1,1,0,0,0,1,1,5,1,5,1,2.0,0,0,,,,,1
72049,PSOE,Spain,0,0,0,9,1,1,4,2,17,5,1,2,2,2,2,6,6,7,4,4,5,5,5,5,6,3,2,3,2,6,2,11,60,2,1,0,0,0,1,1,4,1,7,1,2.0,0,0,,,,,1
72049,PSOE,Spain,0,0,0,8,1,0,6,2,20,5,2,2,2,1,1,6,7,7,1,3,4,4,2,2,3,2,2,3,2,3,1,11,75,1,1,0,0,0,1,1,6,2,7,1,2.0,0,0,,,,,1
72193,PSOE,Spain,0,0,0,8,1,0,6,1,17,1,2,1,1,1,1,9,7,7,5,5,2,6,3,3,6,1,2,2,3,2,1,11,70,2,1,0,0,0,1,1,5,1,6,1,2.0,0,0,,,,,1
72259,Vox,Spain,1,0,1,5,1,1,3,1,13,4,3,3,3,2,2,5,9,9,2,2,5,2,0,0,5,2,4,2,2,8,1,11,21,1,1,0,0,0,1,1,0,2,7,1,3.0,1,0,1.0,1.0,3218.0,2380.0,1
72321,Coalición Canaria (CC),Spain,0,0,0,4,2,0,4,2,10,3,3,4,3,2,3,7,4,5,2,2,1,5,0,3,6,1,2,1,3,6,1,11,71,2,1,0,0,0,1,1,7,1,3,1,10.0,0,0,,,,,1
72336,PSOE,Spain,0,0,0,2,2,0,3,2,12,4,4,4,4,1,1,5,8,9,1,5,1,3,5,5,5,2,1,1,3,4,1,11,66,2,1,0,0,0,1,1,7,1,5,1,2.0,0,0,,,,,1
72336,PSOE,Spain,0,0,0,2,2,0,0,2,13,3,3,4,4,2,5,4,0,9,1,3,2,3,0,1,0,1,1,1,3,3,1,11,65,2,1,0,0,0,1,1,8,1,2,1,2.0,0,0,,,,,1
72442,PP,Spain,0,0,0,10,1,1,6,2,17,2,2,3,3,2,3,4,7,8,3,2,3,3,4,3,5,2,2,2,2,5,2,11,48,1,1,0,0,0,1,1,4,1,5,1,1.0,0,0,,,,,1
