uuid,year,valuation,revenue
bced3100-c4bb-4370-95f2-1344f2fbab27,2021,9700000000.0,609591000.0
bced3100-c4bb-4370-95f2-1344f2fbab27,2022,5395000000.0,778846000.0
bced3100-c4bb-4370-95f2-1344f2fbab27,2023,6366000000.0,910488000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2017,7369000000.0,5491000000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2018,14373000000.0,5919000000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2019,15651000000.0,6146000000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2020,8310000000.0,5412000000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2021,15210000000.0,5744000000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2022,15306000000.0,6318000000.0
7b9eca3c-f467-4ef9-b063-f305c260f9bb,2023,12660000000.0,6362000000.0
5fc49ed8-4791-4e0c-b5bc-92e4c4987037,2020,1185000000.0,561000000.0
5fc49ed8-4791-4e0c-b5bc-92e4c4987037,2022,2204000000.0,625000000.0
c80b0a6d-e8f0-4b90-90c5-14d2c7e43eed,2023,166100000.0,176800000.0
c80b0a6d-e8f0-4b90-90c5-14d2c7e43eed,2024,219800000.0,209700000.0
c80b0a6d-e8f0-4b90-90c5-14d2c7e43eed,2025,229400000.0,239900000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2017,1016000000.0,607084000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2018,923000000.0,983142000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2019,768300000.0,995789000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2020,738900000.0,948019000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2021,1407000000.0,1009418000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2022,1167000000.0,1112321000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2023,3351000000.0,1312454000.0
978f38db-bcd2-44ad-8eef-8e0d138d45d7,2024,1831000000.0,1117203000.0
8eb7166c-078f-45e4-9444-b068bd4699ee,2017,4030666667.0,1312000000.0
8eb7166c-078f-45e4-9444-b068bd4699ee,2018,7474000000.0,2067000000.0
8eb7166c-078f-45e4-9444-b068bd4699ee,2019,9576666667.0,2841000000.0
8eb7166c-078f-45e4-9444-b068bd4699ee,2020,7236666667.0,3057000000.0
8eb7166c-078f-45e4-9444-b068bd4699ee,2021,9736666667.0,
8eb7166c-078f-45e4-9444-b068bd4699ee,2022,9306000000.0,
9245aa02-680e-4173-a4fa-df7585733205,2019,1201000000.0,63354000.0
9245aa02-680e-4173-a4fa-df7585733205,2020,2118000000.0,75227000.0
9245aa02-680e-4173-a4fa-df7585733205,2021,1425000000.0,101475000.0
9245aa02-680e-4173-a4fa-df7585733205,2022,1876000000.0,138638000.0
9245aa02-680e-4173-a4fa-df7585733205,2023,372000000.0,177134000.0
6cf7a4e7-3d94-4834-9c5c-2da957625c2d,2021,6438000000.0,333600000.0
6cf7a4e7-3d94-4834-9c5c-2da957625c2d,2022,6915000000.0,503200000.0
6cf7a4e7-3d94-4834-9c5c-2da957625c2d,2023,7617000000.0,524400000.0
6cf7a4e7-3d94-4834-9c5c-2da957625c2d,2026,12133000000.0,1056000000.0
6cf7a4e7-3d94-4834-9c5c-2da957625c2d,2025,11211000000.0,899500000.0
6cf7a4e7-3d94-4834-9c5c-2da957625c2d,2024,10301000000.0,643500000.0
d39a6c5e-0c6f-467d-9c87-237eed94c30e,2025,1252000000.0,4627000000.0
424386cd-68b6-4dd6-bd85-1325dc386250,2018,1467000000.0,232000000.0
424386cd-68b6-4dd6-bd85-1325dc386250,2019,1816000000.0,317000000.0
424386cd-68b6-4dd6-bd85-1325dc386250,2020,2714000000.0,392000000.0
1852384f-aaa2-4336-b49b-b34f70dd9668,2017,2198000000.0,36930000.0
1852384f-aaa2-4336-b49b-b34f70dd9668,2018,1631000000.0,91245000.0
1852384f-aaa2-4336-b49b-b34f70dd9668,2019,2179000000.0,182237000.0
1852384f-aaa2-4336-b49b-b34f70dd9668,2020,5923000000.0,260886000.0
1852384f-aaa2-4336-b49b-b34f70dd9668,2021,3125000000.0,305514000.0
1852384f-aaa2-4336-b49b-b34f70dd9668,2022,3529000000.0,329233000.0
