cb_uuid,round_announced_on,round_raised_amount_usd
21447a34-2905-7ff6-9852-b8ba5abb4ff7,2018-06-19,25000000.0
21447a34-2905-7ff6-9852-b8ba5abb4ff7,2020-09-10,130000000.0
2145f097-33cc-fe11-6ba3-408aa70c8e0f,2017-02-05,7276855.0
2168735f-b438-5783-091a-9d8e621d313c,2010-01-15,5000000.0
2203aa6f-311d-4b59-8c2b-58687eda0c0e,2020-09-10,88683930.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2021-11-29,220000000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2022-06-01,50000000.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2023-11-14,9033609.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2024-06-15,28126348.0
0931940c-2f33-a964-0cbd-62757f6fd78a,2024-10-17,8529637.0
0ff4481b-e26a-4eff-b925-7970b059f6ab,2020-10-26,10700000.0
0ff4481b-e26a-4eff-b925-7970b059f6ab,2021-03-24,45000000.0
0ff4481b-e26a-4eff-b925-7970b059f6ab,2022-03-16,110000000.0
0ff4481b-e26a-4eff-b925-7970b059f6ab,2024-01-05,1654249.0
2476b409-5ba8-3cc8-141e-253ca8f2be30,2019-12-13,71128814.0
2499cb42-9682-41fc-b88a-888013133b07,2020-01-19,16054000.0
24d3bda6-48ff-a9ad-7737-9e090d686786,2009-07-21,940002.0
24d3bda6-48ff-a9ad-7737-9e090d686786,2013-06-24,2000000.0
0c3d8b9f-eb94-8e51-da9e-b6d2c14d7ee0,2015-11-07,2500000.0
0c3d8b9f-eb94-8e51-da9e-b6d2c14d7ee0,2016-05-27,17000000.0
0c3d8b9f-eb94-8e51-da9e-b6d2c14d7ee0,2017-08-24,10000000.0
0c3d8b9f-eb94-8e51-da9e-b6d2c14d7ee0,2022-03-07,85000000.0
25d9ec1b-88e0-4f42-b8b1-456ba9a959f6,2016-01-01,2171645.0
25d9ec1b-88e0-4f42-b8b1-456ba9a959f6,2020-01-01,7292326.0
26b92b6b-63b6-bddb-ffee-e78dbbf6edb7,2014-11-23,6000000.0
2dd1eba2-8c7a-e36c-3271-93c635c30d19,2010-06-01,3000000.0
014f4278-93e6-ff40-2266-632b43910293,2017-08-01,7956405.0
014f4278-93e6-ff40-2266-632b43910293,2022-09-06,60000000.0
014f4278-93e6-ff40-2266-632b43910293,2022-09-06,75000000.0
27671087-70bb-fe55-4d01-2cb8259d1135,2012-11-09,50842.0
2834cfc2-fb6d-185a-e844-59086575e5b6,2020-01-14,240000000.0
338de4e7-6ae7-4358-ae82-b8f9a0882ab1,2015-09-24,118000.0
28a4f655-feb0-6f19-d498-efe4541f9eb8,2009-06-23,500000.0
2917fd7f-8cbf-515d-8eea-6edad6184892,2013-06-01,550000.0
2917fd7f-8cbf-515d-8eea-6edad6184892,2015-01-22,6400000.0
29b8d20e-83f1-4544-be33-b0ba425b4054,2019-12-01,300000.0
29c2940b-d437-0bb7-4b31-0dea426550c7,2022-02-08,29000000.0
29c2940b-d437-0bb7-4b31-0dea426550c7,2023-11-26,13500000.0
10217286-56ce-4335-5546-9db38d2a6aea,2011-02-14,2883095.0
2a13ab9b-c4a5-4b55-a0f2-65de993c0b74,2023-01-04,6917854.0
093a67b7-3b48-4273-8fce-94471c3b9184,2022-06-24,160000000.0
2b113e08-e9a4-44da-8423-c2524b9c93a7,2018-11-09,680250.0
36951539-6971-bf43-cceb-35166b2f9f5e,2014-06-25,8000000.0
2c822961-bfdb-f885-85d3-2a1fcbe21915,2015-06-30,230000000.0
2c822961-bfdb-f885-85d3-2a1fcbe21915,2017-07-12,161500000.0
2c822961-bfdb-f885-85d3-2a1fcbe21915,2019-04-10,170000000.0
2cd0606c-c371-84ec-0fac-cc2ecb423a6c,2014-03-01,10000000.0
2cea1620-08e7-c708-d6bd-9cd861b1a6dd,2022-01-01,40000000.0
2d7e8c67-ed17-47fc-9355-f5e104fc997b,2016-08-01,27200000.0
2d7e8c67-ed17-47fc-9355-f5e104fc997b,2021-09-20,110000000.0
2dd1eba2-8c7a-e36c-3271-93c635c30d19,2019-09-24,16000000.0
2df387b3-08f4-4fcc-ba5a-691399642e19,2014-06-20,12000000.0
2eeabe58-65e3-fb30-250c-6b6044114b7b,2024-08-22,35739230.0
2f489af1-52bc-4fed-ab7b-24dcfd25bd49,2021-12-29,1120972.0
2f489af1-52bc-4fed-ab7b-24dcfd25bd49,2022-04-29,4251696.0
2fe9c728-fb9e-6487-8f71-35af6d6b6052,2010-01-01,5500000.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2017-06-07,8666906.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2017-12-12,14443282.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2018-11-01,12542745.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2019-01-21,3978973.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2019-12-09,8297626.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2020-07-29,15315162.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2020-11-20,24899276.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2021-02-26,181081127.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2023-06-12,25830060.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2023-10-17,35842294.0
302075dc-bfa3-d544-a34c-6b834fa4ce11,2024-02-20,29727223.0
303a687d-893c-1820-853e-21a9f6c18334,2014-08-22,250000.0
303a687d-893c-1820-853e-21a9f6c18334,2015-09-14,2367491.0
30a2b984-2b28-a2fc-4e6f-8df141b4ceca,2011-08-30,810000.0
30a2b984-2b28-a2fc-4e6f-8df141b4ceca,2012-09-01,1900000.0
30a2b984-2b28-a2fc-4e6f-8df141b4ceca,2014-01-28,514792.0
30a2b984-2b28-a2fc-4e6f-8df141b4ceca,2015-04-29,1195944.0
31fc3998-a1f1-2e5b-6358-f8d068fa9f71,2020-01-17,2550861970.0
31fc3998-a1f1-2e5b-6358-f8d068fa9f71,2021-09-03,1484881530.0
31fc3998-a1f1-2e5b-6358-f8d068fa9f71,2022-04-04,1536514724.0
0e0836b7-c6de-468b-8ee2-771deb3c9796,2020-10-22,224396374.0
32531ffb-874e-1162-3eec-71afb01bdafa,2004-09-02,2500000.0
32531ffb-874e-1162-3eec-71afb01bdafa,2011-11-28,30000000.0
32531ffb-874e-1162-3eec-71afb01bdafa,2014-01-25,6105623.0
32531ffb-874e-1162-3eec-71afb01bdafa,2015-02-25,8063491.0
32981638-e342-18af-4fd3-46cf26d01adf,2022-03-15,150000000.0
32a64a4d-80ca-4222-b934-15bf7169a4db,2020-12-02,249147150.0
32c4b5d6-9902-5092-80d9-8e93905e840f,2011-10-24,6250000.0
0cb64635-8958-4207-8928-3dc69852bedd,2021-12-15,70000000.0
0cb64635-8958-4207-8928-3dc69852bedd,2024-08-20,50000000.0
337aacea-2189-70e4-f090-8e252f1303b3,2021-12-22,22853336.0
337aacea-2189-70e4-f090-8e252f1303b3,2023-12-08,120250000.0
33bf65fc-a6b0-4cc9-991c-23da69e54b88,2015-01-01,100000.0
33bf65fc-a6b0-4cc9-991c-23da69e54b88,2019-05-13,172226737.0
33c4797b-303c-7537-adcf-4327bcd272b8,2010-12-01,16808155.0
33c4797b-303c-7537-adcf-4327bcd272b8,2012-05-05,16649196.0
34980ace-ced8-744d-ea9c-00f2ff624ea0,2023-01-13,94528847.0
34a805a2-7a95-c7b3-90f5-b99265b95183,2018-06-04,172000000.0
34a805a2-7a95-c7b3-90f5-b99265b95183,2019-08-14,400000000.0
34a805a2-7a95-c7b3-90f5-b99265b95183,2022-04-27,172500000.0
34a805a2-7a95-c7b3-90f5-b99265b95183,2023-01-19,125000000.0
0cc3c46d-f271-f3fb-edde-b41c549327a9,2016-10-13,8200000.0
0cc3c46d-f271-f3fb-edde-b41c549327a9,2019-01-30,30000000.0
0cc3c46d-f271-f3fb-edde-b41c549327a9,2020-07-28,50000000.0
0cc3c46d-f271-f3fb-edde-b41c549327a9,2021-05-20,20000000.0
354cf6ee-7960-739d-9944-473e04586006,2010-06-03,3659714.0
358b48d7-16d9-44ab-811c-f960f9356a99,2017-01-01,1158245.0
35a24fe1-1b9e-4b17-9338-a80727b2ed83,2018-12-18,84400000.0
35a24fe1-1b9e-4b17-9338-a80727b2ed83,2021-03-30,341200000.0
35a24fe1-1b9e-4b17-9338-a80727b2ed83,2024-08-16,99600000.0
376b9467-0631-3818-434f-0cd28a68fb5e,2018-02-06,750288.0
376b9467-0631-3818-434f-0cd28a68fb5e,2020-08-26,14000000.0
376b9467-0631-3818-434f-0cd28a68fb5e,2022-01-24,8066663.0
376cbadb-4400-47ad-ba52-bc984fd3bd98,2019-11-01,250000000.0
376cbadb-4400-47ad-ba52-bc984fd3bd98,2024-05-13,110000000.0
1081e17e-933d-84ed-a75b-099831118291,2004-02-17,10100000.0
1081e17e-933d-84ed-a75b-099831118291,2004-08-13,13000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2016-09-30,25000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2017-05-25,70000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2017-10-27,50000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2018-09-25,14800000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2018-10-18,20000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2019-03-22,50000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2022-08-18,375000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2023-02-24,407000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2023-06-01,400000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2024-03-05,300000000.0
383e488b-5855-cac4-6ed7-d561c07400d5,2024-07-11,365000000.0
1081e17e-933d-84ed-a75b-099831118291,2006-02-01,15400000.0
3904146d-13d9-65c6-6993-78a8ac2bdada,2024-05-31,39999992.0
390c4ce6-59d2-eb40-9712-300ccb8787a8,2020-04-22,150000000.0
390d3588-9766-83d6-7ba7-4a7d2a5adfc8,2022-05-10,100000000.0
391bde8c-8152-4441-a7a8-4edf684035e6,2019-08-05,106500.0
397dfc41-31b0-a422-60a9-4165218cc33d,1999-06-01,22000000.0
397dfc41-31b0-a422-60a9-4165218cc33d,2000-02-15,63000000.0
39b98176-23ab-b870-2074-301e10e87739,2010-07-09,5781952.0
43b9e775-b843-f194-fb96-d266684cfb53,2009-10-01,1000000.0
