domain,person_name,person_facebook_url,person_twitter_url,person_linkedin_url,country_code
clicklease.com,Doug Houlahan,,,linkedin.com/in/doug-houlahan-5544b2/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_people%3BlrIbJpE%2FQgeJLZ8HnYcfFg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_people-search_srp_result&lici=chASvtOfTgy8UNe7urlAAQ%3D%3D,USA
clickup.com,Zeb Evans,,,linkedin.com/in/zebevansclickup,USA
clickup.com,Alex Yurkowski,,,,
umoja-biopharma.com,Andy Scharenberg,,,,
climate.com,Darrell Ingram,,,linkedin.com/in/darrell-ingram-752a7368,USA
climate.com,David Friedberg,,,,
climate.com,Siraj Khaliq,,,,
clinigengroup.com,Robin Sibson,,,linkedin.com/in/robin-sibson-890b03aa,GBR
clio.com,Emma Raimi-Zlatic,,,linkedin.com/in/emmarz,USA
clio.com,Jack Newton,,,,
clio.com,Rian Gauvreau,,,,
unit21.ai,Clarence Chio,,,,
